filename,burstNo,lengthTo,lengthFrom,maxLenTo,minLenTo,meanLenTo,medianLenTo,varTo,maxLenFrom,minLenFrom,meanLenFrom,medianLenFrom,varFrom,meanLenToNo54,meanLenFromNo54
AlexaTimed2,3,1.821,1.487,1494,54,478.6097561,491,156517.8458,1494,54,216.3561644,54,185067.4547,581.5454545,794.75
AlexaTimed2,6,2.399,12.149,1494,54,437.2803738,491,151974.9584,1494,54,629.1751825,54,460960.2485,593.6184211,1212.808824
AlexaTimed2,10,2.034,2.209,1494,54,479.4269663,491,146474.0429,1494,54,262.2439024,54,228439.3966,602.7391304,867.1428571
AlexaTimed2,12,1.345,5.957,1494,54,506.2465753,491,222128.2717,1494,54,523.1086957,54,397775.021,654.2545455,1057.674419
AlexaTimed2,15,1.552,1.538,1494,54,479.7123288,491,179364.4855,1494,54,238.9545455,54,200741.8902,599.2105263,664.35
AlexaTimed2,19,2.326,12.854,1494,54,458.5252525,491,159738.9866,1494,54,659.3913043,127,461531.6122,574.1038961,1230.676056
AlexaTimed2,25,2.042,11.582,1494,54,461.4044944,491,169418.0163,1494,54,668.1707317,171,455601.2903,620.546875,1181.507463
AlexaTimed2,29,2.127,3.855,1494,54,495.2771084,491,148700.8369,1494,54,357.6477273,54,308729.9319,608.9393939,1008.321429
AlexaTimed2,31,3.255,3.866,1494,54,474.9316239,491,108864.478,1494,54,285.4434783,54,252091.3542,561.7216495,971.7931034
AlexaTimed2,36,1.912,8.642,1494,54,518.9310345,491,144186.4836,1494,54,506.6,54,394097.2806,600.6081081,1068.448276
AlexaTimed2,39,1.258,1.632,1494,54,531.45,491,191748.15,1494,54,242.2786885,54,199935.9044,663.5106383,819.6666667
AlexaTimed2,42,2.674,8.276,1494,54,476.1176471,491,144644.1246,1494,54,501.5284553,54,403021.4807,613.1688312,1092.603774
AlexaTimed2,45,2.538,2.034,1494,54,535.3058824,491,127003.8815,1494,54,228.9684211,54,199177.9458,592.3026316,809.5454545
AlexaTimed2,50,2.317,2.133,1494,54,506.9659091,491,132450.723,1494,54,254.3139535,54,224448.9709,571.6753247,874.3333333
AlexaTimed2,52,2.94,15.998,1494,54,382.9589041,491,135554.7707,1494,54,653.8806818,123.5,466868.0943,564.9361702,1214.208791
AlexaTimed2,55,1.581,1.462,1494,54,508.9189189,491,172601.3084,1494,54,240.4492754,54,201889.1334,624.5762712,810.7647059
